,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
FML,0.527,0.415,5,-7.184,1,0.131,0.329,0.0,0.195,0.12,125.357,audio_features,30Zcjs7pgEkmJA1lEbGSWT,spotify:track:30Zcjs7pgEkmJA1lEbGSWT,https://api.spotify.com/v1/tracks/30Zcjs7pgEkmJA1lEbGSWT,https://api.spotify.com/v1/audio-analysis/30Zcjs7pgEkmJA1lEbGSWT,236120,4,67,"['chicago rap', 'rap']"
Cadmium,0.456,0.32,4,-9.883,1,0.0477,0.484,0.0,0.158,0.33,131.214,audio_features,78Jfmw8XNJL68aWjeIUGHC,spotify:track:78Jfmw8XNJL68aWjeIUGHC,https://api.spotify.com/v1/tracks/78Jfmw8XNJL68aWjeIUGHC,https://api.spotify.com/v1/audio-analysis/78Jfmw8XNJL68aWjeIUGHC,252213,4,26,"['indie folk', 'indie rock', 'new jersey indie', 'small room']"
Still Hurting,0.308,0.167,0,-12.986,1,0.0349,0.863,0.00163,0.433,0.0824,97.16,audio_features,0nIRxNfWcd1ZpgGfUMIfUs,spotify:track:0nIRxNfWcd1ZpgGfUMIfUs,https://api.spotify.com/v1/tracks/0nIRxNfWcd1ZpgGfUMIfUs,https://api.spotify.com/v1/audio-analysis/0nIRxNfWcd1ZpgGfUMIfUs,301160,4,0,['broadway']
Because the Night,0.443,0.797,11,-5.329,0,0.0351,0.0526,0.0,0.0997,0.521,123.428,audio_features,77XlfkvXtMwppbEU5sku97,spotify:track:77XlfkvXtMwppbEU5sku97,https://api.spotify.com/v1/tracks/77XlfkvXtMwppbEU5sku97,https://api.spotify.com/v1/audio-analysis/77XlfkvXtMwppbEU5sku97,205387,4,65,"['art pop', 'art punk', 'art rock', 'dance rock', 'folk rock', 'permanent wave', 'protopunk', 'rock']"
Same Drugs,0.461,0.293,6,-9.52,1,0.0555,0.947,9.95e-06,0.0936,0.531,180.297,audio_features,6m9qPYXmhge2QhBLfFKnVF,spotify:track:6m9qPYXmhge2QhBLfFKnVF,https://api.spotify.com/v1/tracks/6m9qPYXmhge2QhBLfFKnVF,https://api.spotify.com/v1/audio-analysis/6m9qPYXmhge2QhBLfFKnVF,257775,4,66,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Had To Hear,0.556,0.765,7,-7.474,1,0.0319,0.135,0.732,0.149,0.499,125.72,audio_features,4IAE7M8Qw88f59W0uqNujJ,spotify:track:4IAE7M8Qw88f59W0uqNujJ,https://api.spotify.com/v1/tracks/4IAE7M8Qw88f59W0uqNujJ,https://api.spotify.com/v1/audio-analysis/4IAE7M8Qw88f59W0uqNujJ,290827,4,52,"['art pop', 'chamber pop', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'new jersey indie', 'noise pop', 'nu gaze', 'shimmer pop']"
Lua,0.603,0.124,2,-18.301,1,0.0827,0.802,3e-05,0.0565,0.317,104.902,audio_features,4PMvRfhHAx5j6Bb3XsFLoq,spotify:track:4PMvRfhHAx5j6Bb3XsFLoq,https://api.spotify.com/v1/tracks/4PMvRfhHAx5j6Bb3XsFLoq,https://api.spotify.com/v1/audio-analysis/4PMvRfhHAx5j6Bb3XsFLoq,271667,3,58,"['anti-folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'slow core', 'stomp and holler']"
Everything's Alright,0.41,0.58,4,-8.263,1,0.0592,0.184,0.0,0.0901,0.548,133.055,audio_features,7ycKoW46Lx2jbZJRamqlPO,spotify:track:7ycKoW46Lx2jbZJRamqlPO,https://api.spotify.com/v1/tracks/7ycKoW46Lx2jbZJRamqlPO,https://api.spotify.com/v1/audio-analysis/7ycKoW46Lx2jbZJRamqlPO,314738,5,35,['disco']
Suzanne,0.409,0.172,6,-16.44,0,0.0389,0.922,0.00112,0.111,0.352,132.151,audio_features,2L93TdW2GMue1H2zlkt30F,spotify:track:2L93TdW2GMue1H2zlkt30F,https://api.spotify.com/v1/tracks/2L93TdW2GMue1H2zlkt30F,https://api.spotify.com/v1/audio-analysis/2L93TdW2GMue1H2zlkt30F,229293,4,64,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']"
hungry fox,0.706,0.0636,7,-12.163,1,0.133,0.693,0.942,0.0878,0.743,79.028,audio_features,0rOWIOSGWxSoKz2Ztee8D3,spotify:track:0rOWIOSGWxSoKz2Ztee8D3,https://api.spotify.com/v1/tracks/0rOWIOSGWxSoKz2Ztee8D3,https://api.spotify.com/v1/audio-analysis/0rOWIOSGWxSoKz2Ztee8D3,61417,4,27,"['chillhop', 'lo-fi beats']"
Pilgrims by the Millions,0.356,0.791,0,-5.622,1,0.162,0.000571,0.847,0.0908,0.0435,150.788,audio_features,4htC58qbAAgje6xT6RqpNd,spotify:track:4htC58qbAAgje6xT6RqpNd,https://api.spotify.com/v1/tracks/4htC58qbAAgje6xT6RqpNd,https://api.spotify.com/v1/audio-analysis/4htC58qbAAgje6xT6RqpNd,185279,4,25,['escape room']
Father Stretch My Hands Pt. 1,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,audio_features,4KW1lqgSr8TKrvBII0Brf8,spotify:track:4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,135920,4,72,"['chicago rap', 'rap']"
"Sing About Me, I'm Dying Of Thirst",0.654,0.753,11,-7.556,0,0.395,0.303,8.08e-05,0.13,0.371,110.722,audio_features,3q2v8QaTnHLveAQzR6gvYm,spotify:track:3q2v8QaTnHLveAQzR6gvYm,https://api.spotify.com/v1/tracks/3q2v8QaTnHLveAQzR6gvYm,https://api.spotify.com/v1/audio-analysis/3q2v8QaTnHLveAQzR6gvYm,723573,5,58,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Obvious Bicycle,0.472,0.29,9,-12.327,1,0.0957,0.403,0.000115,0.199,0.126,180.098,audio_features,2gKZXeCTkQjblUQgnKF7Ow,spotify:track:2gKZXeCTkQjblUQgnKF7Ow,https://api.spotify.com/v1/tracks/2gKZXeCTkQjblUQgnKF7Ow,https://api.spotify.com/v1/audio-analysis/2gKZXeCTkQjblUQgnKF7Ow,251253,4,51,"['baroque pop', 'indie pop', 'indie rock', 'modern rock', 'rock']"
Black & Blue,0.607,0.349,2,-12.165,1,0.0271,0.661,0.0499,0.105,0.217,128.819,audio_features,76r1FmtRgDKkiZ6Uru459R,spotify:track:76r1FmtRgDKkiZ6Uru459R,https://api.spotify.com/v1/tracks/76r1FmtRgDKkiZ6Uru459R,https://api.spotify.com/v1/audio-analysis/76r1FmtRgDKkiZ6Uru459R,228333,3,43,"['chamber pop', 'indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']"
Ironic - 2015 Remaster,0.408,0.582,11,-8.305,1,0.0508,0.218,0.0,0.159,0.365,114.926,audio_features,1d6KS9GH06JAd19uiBy9IE,spotify:track:1d6KS9GH06JAd19uiBy9IE,https://api.spotify.com/v1/tracks/1d6KS9GH06JAd19uiBy9IE,https://api.spotify.com/v1/audio-analysis/1d6KS9GH06JAd19uiBy9IE,230000,5,69,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
Insurance Man,0.725,0.472,3,-13.456,0,0.337,0.326,0.0,0.424,0.565,80.034,audio_features,4gEGMy98yb7DFOhedLJ9ib,spotify:track:4gEGMy98yb7DFOhedLJ9ib,https://api.spotify.com/v1/tracks/4gEGMy98yb7DFOhedLJ9ib,https://api.spotify.com/v1/audio-analysis/4gEGMy98yb7DFOhedLJ9ib,202106,4,12,"['afrofuturism', 'funk', 'funk rock', 'motown', 'p funk', 'soul']"
Island In The Sun,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,audio_features,2MLHyLy5z5l5YRp7momlgw,spotify:track:2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,200307,4,75,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']"
The Queen Is Dead - 2017 Master,0.508,0.904,4,-5.577,1,0.0559,0.000421,0.0577,0.852,0.571,140.52,audio_features,05q6GU1e5Zg3DLMk5ZEdMu,spotify:track:05q6GU1e5Zg3DLMk5ZEdMu,https://api.spotify.com/v1/tracks/05q6GU1e5Zg3DLMk5ZEdMu,https://api.spotify.com/v1/audio-analysis/05q6GU1e5Zg3DLMk5ZEdMu,384173,4,50,"['dance rock', 'madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
I'll Be Here,0.544,0.149,0,-15.952,1,0.0531,0.958,5.16e-06,0.102,0.33,105.965,audio_features,0fJcqEhiZ5aDsszY6pbA9E,spotify:track:0fJcqEhiZ5aDsszY6pbA9E,https://api.spotify.com/v1/tracks/0fJcqEhiZ5aDsszY6pbA9E,https://api.spotify.com/v1/audio-analysis/0fJcqEhiZ5aDsszY6pbA9E,325907,3,38,['broadway']
icy,0.713,0.166,5,-12.095,1,0.134,0.789,0.928,0.11,0.482,79.05,audio_features,2ENGKrN7kFF8v8wkzXzvlc,spotify:track:2ENGKrN7kFF8v8wkzXzvlc,https://api.spotify.com/v1/tracks/2ENGKrN7kFF8v8wkzXzvlc,https://api.spotify.com/v1/audio-analysis/2ENGKrN7kFF8v8wkzXzvlc,67130,4,30,"['chillhop', 'lo-fi beats']"
